CPR	INFL	M	QUARTER	TBR	Y
6.846667	2.8525717247	6.6171962879	198702	5.733333	8.41522690883
7.026667	3.05515290113	6.61121370141	198703	6.033333	8.42492438195
7.54	3.69791353143	6.61241879767	198704	6.003333	8.43933975221
6.713333	3.31557645842	6.61162184918	198801	5.76	8.44576163447
7.253333	4.49419116628	6.61891750314	198802	6.23	8.45633854315
8.163333	4.83478909814	6.61984775583	198803	6.993333	8.46263140342
8.586667	3.9898929733	6.61293138955	198804	7.703333	8.47213306201
9.446667	5.11210188711	6.59875054466	198901	8.533333	8.48003115773
9.29	4.35469898828	6.57727491127	198902	8.44	8.48446336679
8.39	3.7608285873	6.57275424026	198903	7.85	8.48446336679
8.056667	3.50211033058	6.57660551097	198904	7.633333	8.48811447392
8.076667	5.25743109294	6.57445243734	199001	7.756667	8.49664348513
8.193333	4.21180327328	6.57454631689	199002	7.766667	8.50047420481
7.833333	3.94826996963	6.57584068735	199003	7.493333	8.49831613565
7.68	4.22560511715	6.57320499565	199004	7.023333	8.49027410206
6.596667	4.84638630431	6.57420476385	199101	6.053333	8.4850831375
6.056667	2.73976981592	6.58702550868	199102	5.593333	8.49041791158
5.83	2.78291638616	6.59943580685	199103	5.406667	8.49288000683
4.916667	2.46680492788	6.61734712586	199104	4.583333	8.49306441984
4.19	3.77753080336	6.6487838308	199201	3.91	8.50075888495
4.03	2.67041429051	6.66876561474	199202	3.723333	8.50663767748
3.41	1.3525980362	6.69251099458	199203	3.13	8.51529138413
3.566667	2.64672396073	6.72476035076	199204	3.076667	8.52926009263
3.286667	3.14268520976	6.73737817572	199301	2.993333	8.53214091546
3.256667	1.71907139557	6.75936772515	199302	2.983333	8.53805408208
3.31	1.09251399466	6.78621288646	199303	3.02	8.54469162012
3.366667	1.33873145513	6.80602011291	199304	3.08	8.5598694657
3.666667	2.63029940262	6.814226665	199401	3.25	8.56809540934
4.726667	2.9385766734	6.81152629786	199402	4.036667	8.57811894436
5.213333	2.07876970353	6.81382265603	199403	4.51	8.58802437218
6.11	1.21785675578	6.80721263795	199404	5.283333	8.60039398401
